customer_id,first_name,last_name,status,plan_name,total_orders,total_spent,avg_order_value,customer_value_segment
9,Lisa,Garcia,Active,"Premium Deluxe",6,546.30,91.05,"High Value"
1,Sarah,Johnson,Active,"Starter Box",7,349.85,49.98,"High Value"
2,Michael,Chen,Cancelled,"Premium Deluxe",3,266.70,88.90,"Medium Value"
6,Ryan,Brown,Active,"Family Pack",4,242.30,60.58,"Medium Value"
3,Jessica,Williams,Active,"Family Pack",3,204.50,68.17,"Medium Value"
19,Michelle,Clark,Active,"Premium Deluxe",2,181.05,90.53,"Medium Value"
16,Matthew,Harris,Active,"Premium Deluxe",2,172.90,86.45,"Medium Value"
13,Rachel,Thomas,Active,"Premium Deluxe",2,161.80,80.90,"Medium Value"
4,David,Thompson,Cancelled,"Premium Deluxe",2,161.05,80.53,"Medium Value"
10,James,Martinez,Active,"Starter Box",3,122.65,40.88,"Medium Value"
8,Kevin,Wilson,Paused,"Family Pack",2,115.15,57.58,"Medium Value"
7,Amanda,Miller,Active,"Starter Box",3,107.65,35.88,"Medium Value"
5,Emily,Davis,Paused,"Starter Box",2,60.15,30.08,"Low Value"
18,Joshua,Lee,Active,"Family Pack",1,56.40,56.40,"Low Value"
12,Christopher,Taylor,Active,"Starter Box",1,33.80,33.80,"Low Value"
15,Ashley,White,Active,"Starter Box",1,29.90,29.90,"Low Value"
20,Brandon,Lewis,Paused,"Starter Box",1,27.85,27.85,"Low Value"
11,Nicole,Anderson,Cancelled,"Family Pack",0,0.00,0.00,"Low Value"
14,Daniel,Jackson,Paused,"Family Pack",0,0.00,0.00,"Low Value"
17,Stephanie,Martin,Cancelled,"Starter Box",0,0.00,0.00,"Low Value"
