customer_id,first_name,last_name,status,total_orders,last_order_date,days_since_last_order,recency_risk_score,total_support_tickets,cancellation_requests,support_risk_score,total_risk_score,risk_category
2,Michael,Chen,Cancelled,9,2023-04-30,813,100,9,6,50,150,"Already Churned"
4,David,Thompson,Cancelled,4,2023-02-28,874,100,4,2,50,150,"Already Churned"
3,Jessica,Williams,Active,6,2023-12-20,579,100,6,0,30,130,"Critical Risk"
1,Sarah,Johnson,Active,7,2023-08-05,716,100,7,0,30,130,"Critical Risk"
6,Ryan,Brown,Active,4,2023-05-30,783,100,4,0,30,130,"Critical Risk"
9,Lisa,Garcia,Active,6,2023-06-30,752,100,6,0,30,130,"Critical Risk"
19,Michelle,Clark,Active,2,2023-02-16,886,100,2,0,15,115,"Critical Risk"
16,Matthew,Harris,Active,2,2023-04-05,838,100,2,0,15,115,"Critical Risk"
13,Rachel,Thomas,Active,2,2023-04-20,823,100,2,0,15,115,"Critical Risk"
20,Brandon,Lewis,Paused,1,2023-04-30,813,100,0,0,0,100,"Critical Risk"
18,Joshua,Lee,Active,1,2023-03-20,854,100,0,0,0,100,"Critical Risk"
17,Stephanie,Martin,Cancelled,0,NULL,NULL,100,0,0,0,100,"Already Churned"
15,Ashley,White,Active,1,2023-04-22,821,100,0,0,0,100,"Critical Risk"
14,Daniel,Jackson,Paused,0,NULL,NULL,100,0,0,0,100,"Low Risk"
12,Christopher,Taylor,Active,1,2023-05-25,788,100,0,0,0,100,"Critical Risk"
11,Nicole,Anderson,Cancelled,0,NULL,NULL,100,0,0,0,100,"Already Churned"
10,James,Martinez,Active,3,2023-06-25,757,100,0,0,0,100,"Critical Risk"
8,Kevin,Wilson,Paused,2,2023-05-02,811,100,0,0,0,100,"Critical Risk"
7,Amanda,Miller,Active,3,2023-07-18,734,100,0,0,0,100,"Critical Risk"
5,Emily,Davis,Paused,2,2023-06-12,770,100,0,0,0,100,"Critical Risk"
