customer_id,first_name,last_name,status,plan_name,monthly_price,total_spent,estimated_annual_value,annual_revenue_at_risk,customer_value_segment
9,Lisa,Garcia,Active,"Premium Deluxe",75.00,546.30,900.00,855.0000,"High Value"
13,Rachel,Thomas,Active,"Premium Deluxe",75.00,161.80,900.00,855.0000,"Medium Value"
16,Matthew,Harris,Active,"Premium Deluxe",75.00,172.90,900.00,855.0000,"Medium Value"
19,Michelle,Clark,Active,"Premium Deluxe",75.00,181.05,900.00,855.0000,"Medium Value"
3,Jessica,Williams,Active,"Family Pack",45.00,409.00,540.00,513.0000,"High Value"
6,Ryan,Brown,Active,"Family Pack",45.00,242.30,540.00,513.0000,"Medium Value"
8,Kevin,Wilson,Paused,"Family Pack",45.00,115.15,0.00,513.0000,"Medium Value"
18,Joshua,Lee,Active,"Family Pack",45.00,56.40,540.00,513.0000,"Low Value"
1,Sarah,Johnson,Active,"Starter Box",25.00,349.85,300.00,285.0000,"High Value"
5,Emily,Davis,Paused,"Starter Box",25.00,60.15,0.00,285.0000,"Low Value"
7,Amanda,Miller,Active,"Starter Box",25.00,107.65,300.00,285.0000,"Medium Value"
10,James,Martinez,Active,"Starter Box",25.00,122.65,300.00,285.0000,"Medium Value"
12,Christopher,Taylor,Active,"Starter Box",25.00,33.80,300.00,285.0000,"Low Value"
15,Ashley,White,Active,"Starter Box",25.00,29.90,300.00,285.0000,"Low Value"
20,Brandon,Lewis,Paused,"Starter Box",25.00,27.85,0.00,285.0000,"Low Value"
14,Daniel,Jackson,Paused,"Family Pack",45.00,0.00,0.00,54.0000,"Low Value"
