customer_id,first_name,last_name,status,total_orders,total_spent,last_order_date,days_since_last_order,total_login_days,last_login_date,days_since_last_login,engagement_score,engagement_category
1,Sarah,Johnson,Active,21,1049.55,2023-08-05,716,3,2024-01-28,540,9,Disengaged
2,Michael,Chen,Cancelled,6,533.40,2023-04-30,813,2,2023-12-15,584,6,Disengaged
3,Jessica,Williams,Active,6,409.00,2023-12-20,579,2,2024-01-25,543,6,Disengaged
9,Lisa,Garcia,Active,6,546.30,2023-06-30,752,1,2024-01-25,543,3,Disengaged
6,Ryan,Brown,Active,4,242.30,2023-05-30,783,1,2024-01-30,538,3,Disengaged
19,Michelle,Clark,Active,2,181.05,2023-02-16,886,1,2024-01-21,547,3,Disengaged
16,Matthew,Harris,Active,2,172.90,2023-04-05,838,1,2024-01-27,541,3,Disengaged
13,Rachel,Thomas,Active,2,161.80,2023-04-20,823,1,2024-01-26,542,3,Disengaged
10,James,Martinez,Active,3,122.65,2023-06-25,757,1,2024-01-22,546,3,Disengaged
7,Amanda,Miller,Active,3,107.65,2023-07-18,734,1,2024-01-28,540,3,Disengaged
18,Joshua,Lee,Active,1,56.40,2023-03-20,854,1,2024-01-23,545,3,Disengaged
12,Christopher,Taylor,Active,1,33.80,2023-05-25,788,1,2024-01-29,539,3,Disengaged
15,Ashley,White,Active,1,29.90,2023-04-22,821,1,2024-01-24,544,3,Disengaged
4,David,Thompson,Cancelled,2,161.05,2023-02-28,874,0,NULL,999,0,Disengaged
8,Kevin,Wilson,Paused,2,115.15,2023-05-02,811,0,NULL,999,0,Disengaged
5,Emily,Davis,Paused,2,60.15,2023-06-12,770,0,NULL,999,0,Disengaged
20,Brandon,Lewis,Paused,1,27.85,2023-04-30,813,0,NULL,999,0,Disengaged
17,Stephanie,Martin,Cancelled,0,0.00,NULL,NULL,0,NULL,999,0,Disengaged
14,Daniel,Jackson,Paused,0,0.00,NULL,NULL,0,NULL,999,0,Disengaged
11,Nicole,Anderson,Cancelled,0,0.00,NULL,NULL,0,NULL,999,0,Disengaged
